GAVARNIE,-0.008333,42.7333
BOMPAS,2.93333,42.7333
RABOUILLET,2.38333,42.7333
SOURNIA,2.45,42.7333
CARAMANY,2.56667,42.7333
SANTA-MARIA-DI-LOTA,9.43306,42.747
PERLES-ET-CASTELET,1.78333,42.75
VAYCHIS,1.8,42.75
TIGNAC,1.78333,42.75
MONTFORT-SUR-BOULZANE,2.3,42.75
SAINTE-COLOMBE-SUR-GUETTE,2.23333,42.75
ROQUEFORT-DE-SAULT,2.2,42.75
LE BOUSQUET,2.16667,42.75
CASSAGNES,2.61667,42.75
TRILLA,2.51667,42.75
PEYRESTORTES,2.85,42.75
BAIXAS,2.81667,42.75
CLAIRA,2.95,42.75
PRATS-DE-SOURNIA,2.45,42.75
PEZILLA-DE-CONFLENT,2.48333,42.75
PIA,2.91667,42.75
TORREILLES,2.98333,42.75
MONTNER,2.68333,42.75
GOULIER,1.50361,42.7553
LASSUR,1.73333,42.7667
BESTIAC,1.78333,42.7667
AUZAT,1.48333,42.7667
LERCOUL,1.55,42.7667
GARANOU,1.75,42.7667
SEM,1.51667,42.7667
UNAC,1.76667,42.7667
GESTIES,1.58333,42.7667
LUZENAC,1.76667,42.7667
ALBIES,1.7,42.7667
ASTON,1.66667,42.7667
VICDESSOS,1.5,42.7667
CAUSSOU,1.8,42.7667
SIGUER,1.56667,42.7667
LA FAJOLLE,1.96667,42.7667
GINCLA,2.33333,42.7667
CAMPAGNA-DE-SAULT,2.05,42.7667
FONTANES-DE-SAULT,2.08333,42.7667
LATOUR-DE-FRANCE,2.65,42.7667
VIRA,2.41667,42.7667
FELLUNS,2.48333,42.7667
SAINT-LAURENT-DE-LA-SALANQUE,2.98333,42.7667
ANSIGNAN,2.51667,42.7667
LANSAC,2.56667,42.7667
RIVESALTES,2.86667,42.7667
CALCE,2.75,42.7667
RASIGUERES,2.61667,42.7667
PLANEZES,2.63333,42.7667
LE VIVIER,2.45,42.7667
ESTAGEL,2.7,42.7667
OLMETA-DI-CAPOCORSO,9.3714,42.7687
BRANDO,9.47529,42.775
SUC-ET-SENTENAC,1.48333,42.7833
URS,1.73333,42.7833
VEBRE,1.71667,42.7833
LORDAT,1.75,42.7833
PECH,1.68333,42.7833
COUFLENS,1.18333,42.7833
VERNAUX,1.75,42.7833
LARCAT,1.65,42.7833
ILLIER-ET-LARAMADE,1.55,42.7833
AXIAT,1.75,42.7833
MONTAILLOU,1.88333,42.7833
MIGLOS,1.61667,42.7833
CHATEAU-VERDUN,1.68333,42.7833
ORUS,1.51667,42.7833
MERIAL,1.98333,42.7833
LE CLAT,2.16667,42.7833
SALVEZINES,2.31667,42.7833
BESSEDE-DE-SAULT,2.11667,42.7833
SAINT-MAMET,0.6,42.7833
BAGNERES-DE-LUCHON,0.6,42.7833
GEDRE,0.016667,42.7833
SAINT-HIPPOLYTE,2.96667,42.7833
SAINT-MARTIN,2.46667,42.7833
SAINT-ARNAC,2.53333,42.7833
CASES-DE-PENE,2.78333,42.7833
LE BARCARES,3.03333,42.7833
ESPIRA-DE-L'AGLY,2.83333,42.7833
FOSSE,2.43333,42.7833
NONZA,9.34445,42.7848
LES CABANNES,1.68722,42.7856
PRADES,1.87833,42.7869
ARAGNOUET,0.225,42.7917
APPY,1.73333,42.8
LARNAT,1.63333,42.8
LAPEGE,1.58333,42.8
SENCONAC,1.7,42.8
AULOS,1.68333,42.8
AULUS-LES-BAINS,1.33333,42.8
CAYCHAX,1.71667,42.8
VERDUN,1.68333,42.8
CAPOULET-ET-JUNAC,1.6,42.8
USTOU,1.26667,42.8
SINSAT,1.65,42.8
AUNAT,2.1,42.8
MAZUBY,2.03333,42.8
NIORT-DE-SAULT,2,42.8
ARTIGUES,2.21667,42.8
AXAT,2.23333,42.8
CAMURAC,1.91667,42.8
RODOME,2.06667,42.8
CASTILLON-DE-LARBOUST,0.533333,42.8
PORTET-DE-LUCHON,0.5,42.8
MONTAUBAN-DE-LUCHON,0.616667,42.8
TREBONS-DE-LUCHON,0.566667,42.8
CAZEAUX-DE-LARBOUST,0.533333,42.8
OO,0.5,42.8
CAZARIL-LASPENES,0.583333,42.8
